ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,NEWS590,SYSTEM1.TXT,0.25000,0.30435,0.27451,1

ROUGE-2+StopWordRemoval,NEWS590,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS591,SYSTEM1.TXT,0.40000,0.24242,0.30189,1

ROUGE-1+StopWordRemoval,NEWS591,SYSTEM1.TXT,0.45455,0.26316,0.33333,1

ROUGE-2+StopWordRemoval,NEWS591,SYSTEM1.TXT,0.25000,0.14286,0.18182,1

ROUGE-L+StopWordRemoval,NEWS94,SYSTEM1.TXT,0.43750,0.15556,0.22951,1

ROUGE-1+StopWordRemoval,NEWS94,SYSTEM1.TXT,0.50000,0.14286,0.22222,1

ROUGE-2+StopWordRemoval,NEWS94,SYSTEM1.TXT,0.14286,0.03774,0.05970,1

ROUGE-L+StopWordRemoval,NEWS592,SYSTEM1.TXT,0.61111,0.25000,0.35484,1

ROUGE-1+StopWordRemoval,NEWS592,SYSTEM1.TXT,0.57895,0.20370,0.30137,1

ROUGE-2+StopWordRemoval,NEWS592,SYSTEM1.TXT,0.37500,0.11765,0.17910,1

ROUGE-L+StopWordRemoval,NEWS95,SYSTEM1.TXT,0.36842,0.28000,0.31818,1

ROUGE-1+StopWordRemoval,NEWS95,SYSTEM1.TXT,0.38095,0.25000,0.30189,1

ROUGE-2+StopWordRemoval,NEWS95,SYSTEM1.TXT,0.26316,0.17241,0.20833,1

ROUGE-L+StopWordRemoval,NEWS350,SYSTEM1.TXT,0.33333,0.23077,0.27273,1

ROUGE-1+StopWordRemoval,NEWS350,SYSTEM1.TXT,0.32258,0.24390,0.27778,1

ROUGE-2+StopWordRemoval,NEWS350,SYSTEM1.TXT,0.10714,0.07895,0.09091,1

ROUGE-L+StopWordRemoval,NEWS593,SYSTEM1.TXT,0.17241,0.18519,0.17857,1

